datetime,open,high,low,close,volume
2024-07-01,211.89,217.51,210.5,216.66,54268103.0
2024-07-02,216.5,220.39,215.1,219.41,49764288.0
2024-07-03,220.0,221.55,219.03,221.08,36122175.0
2024-07-04,,,,,0.0
2024-07-05,221.86,226.85,220.8,226.5092,51461158.0
2024-07-06,,,,,0.0
2024-07-07,,,,,0.0
2024-07-08,227.6,228.49,223.25,228.39,51709297.0
2024-07-09,228.27,229.4,226.3721,229.0,42397463.0
2024-07-10,229.11,233.08,228.65,232.37,54576170.0
2024-07-11,232.81,233.48,225.77,228.05,54718360.0
2024-07-12,228.0,232.64,227.29,230.427,46094919.0
2024-07-13,,,,,0.0
2024-07-14,,,,,0.0
2024-07-15,232.22,237.23,231.0,235.57,56002446.0
2024-07-16,236.0,236.65,232.33,234.3195,34554214.0
2024-07-17,233.41,234.27,226.64,229.13,49331167.0
2024-07-18,229.34,231.8,222.27,224.9887,59123936.0
2024-07-19,224.13,226.8,222.0,224.3271,41950488.0
2024-07-20,,,,,0.0
2024-07-21,,,,,0.0
2024-07-22,224.35,227.78,223.09,223.89,37993334.0
2024-07-23,224.24,226.94,222.68,224.2781,34144516.0
2024-07-24,223.44,225.77,217.13,218.1448,50205732.0
2024-07-25,217.4,220.85,214.62,217.91,44929163.0
2024-07-26,218.9,220.25,216.01,217.9,35133006.0
2024-07-27,,,,,0.0
2024-07-28,,,,,0.0
2024-07-29,218.69,219.32,215.75,217.19,31091914.0
2024-07-30,218.42,220.325,216.12,218.1,34789532.0
2024-07-31,219.67,223.9245,218.7,223.8,40201745.0
2024-08-01,223.8,224.88,212.35,219.6,53590042.0
2024-08-02,217.9,225.6,213.7,219.25,94641628.0
2024-08-03,,,,,0.0
2024-08-04,,,,,0.0
2024-08-05,206.94,213.5,196.0,211.85,108611147.0
2024-08-06,211.84,214.8,201.07,205.01,63529197.0
2024-08-07,208.3,213.64,206.32,208.25,54228397.0
2024-08-08,209.75,214.2,208.69,213.9482,39044918.0
2024-08-09,213.41,216.78,210.64,216.468,35597093.0
2024-08-10,,,,,0.0
2024-08-11,,,,,0.0
2024-08-12,216.77,219.5099,215.6,217.59,31424015.0
2024-08-13,218.31,221.89,217.56,220.7,35579098.0
2024-08-14,221.28,223.03,219.7,222.0,34804596.0
2024-08-15,222.34,225.55,221.76,225.3901,35194973.0
2024-08-16,225.61,226.8271,223.04,225.95,35365408.0
2024-08-17,,,,,0.0
2024-08-18,,,,,0.0
2024-08-19,226.44,226.44,223.04,225.7,33543467.0
2024-08-20,226.11,227.17,225.11,226.55,25880708.0
2024-08-21,225.89,227.98,225.05,226.59,29671897.0
2024-08-22,226.2,228.34,223.9,225.0011,31987821.0
2024-08-23,225.5,228.22,224.33,227.1631,31931488.0
2024-08-24,,,,,0.0
2024-08-25,,,,,0.0
2024-08-26,226.75,227.53,223.3,226.5,24818200.0
2024-08-27,226.09,228.85,224.89,227.3,30813955.0
2024-08-28,228.0,229.86,225.53,225.7,31850914.0
2024-08-29,226.89,232.92,226.49,230.29,46236301.0
2024-08-30,230.55,231.75,227.48,229.1114,34173742.0
2024-08-31,,,,,0.0
2024-09-01,,,,,0.0
2024-09-02,,,,,0.0
2024-09-03,229.27,229.84,220.23,220.8519,41863010.0
2024-09-04,220.1,222.77,217.48,220.0,38283157.0
2024-09-05,220.2,225.48,219.15,222.21,31273785.0
2024-09-06,219.0,225.24,219.0,220.1434,37537050.0
2024-09-07,,,,,0.0
2024-09-08,,,,,0.0
2024-09-09,221.95,223.0,216.71,220.8797,60177189.0
2024-09-10,219.69,221.48,216.73,219.74,43614593.0
2024-09-11,217.8,223.09,217.12,222.1445,36643805.0
2024-09-12,222.5,223.55,219.82,222.757,30231510.0
2024-09-13,222.7,224.59,221.91,222.23,31740485.0
2024-09-14,,,,,0.0
